analyst_id,ticker,reports,quarters,points,pts_est,error_rate,accuracy
Analyst_8030355,VRNT,Mar-30,3.00,59.00,19.70,0.03,0.72
Analyst_8030355,WW,Mar-01,2.00,34.00,17.00,0.20,0.63
Analyst_8030355,MLKN,Jan-04,2.00,12.00,6.00,0.03,0.42
Analyst_8030355,HUBB,Feb-01,2.00,57.00,28.50,0.01,0.67
Mehrwert,EGHT,Jan-27,21.00,278.00,13.20,0.20,0.46
Mehrwert,VG,Feb-23,20.00,264.00,13.20,0.20,0.56
Mehrwert,EXEL,Feb-28,19.00,248.00,13.10,0.25,0.67
Mehrwert,RNG,Feb-14,19.00,576.00,30.30,0.04,0.81
Mehrwert,TGTX,Mar-09,18.00,198.00,11.00,0.21,0.65
Mehrwert,SGEN,Feb-10,18.00,141.00,7.80,0.34,0.57
Mehrwert,CLVS,Feb-23,18.00,86.00,4.80,0.14,0.54
Mehrwert,PBYI,Mar-03,16.00,178.00,11.10,0.40,0.65
Mehrwert,INFI,Mar-15,12.00,168.00,14.00,0.36,0.65
Mehrwert,BIDU,Feb-24,11.00,171.00,15.50,0.15,0.66
Mehrwert,DKS,Mar-08,11.00,73.00,6.60,0.06,0.50
Mehrwert,MDLZ,Feb-02,11.00,97.00,8.90,0.02,0.44
Mehrwert,MKC,Jan-27,11.00,106.00,9.60,0.03,0.52
Mehrwert,GILD,Feb-08,11.00,126.00,11.50,0.08,0.56
Mehrwert,FL,Feb-25,11.00,46.00,4.20,0.07,0.54
Mehrwert,AMZN,Feb-03,11.00,155.00,14.10,0.16,0.62
Mehrwert,DRI,Dec-17,11.00,103.00,9.40,0.02,0.52
Mehrwert,PEP,Feb-10,11.00,145.00,13.20,0.02,0.46
Mehrwert,WMT,Feb-17,11.00,174.00,15.80,0.02,0.67
Mehrwert,SWBI,Mar-03,11.00,100.00,9.10,0.22,0.52
Mehrwert,PZZA,Feb-22,11.00,94.00,8.50,0.09,0.55
Mehrwert,YUM,Feb-10,11.00,171.00,15.50,0.10,0.52
Mehrwert,DPZ,Feb-24,11.00,217.00,19.70,0.04,0.68
Mehrwert,ZUMZ,Mar-10,11.00,114.00,10.40,0.17,0.56
Mehrwert,GME,Dec-08,11.00,16.00,1.50,0.19,0.39
Mehrwert,CAG,Jan-06,11.00,26.00,2.40,0.07,0.37
Mehrwert,LULU,Dec-09,11.00,257.00,23.40,0.05,0.73
Mehrwert,MNST,Mar-02,11.00,31.00,2.80,0.04,0.46
Mehrwert,VFC,Jan-27,11.00,37.00,3.40,0.07,0.43
Mehrwert,DIS,Feb-08,11.00,127.00,11.50,0.06,0.60
smiles18,EAT,Feb-02,5.00,34.00,6.80,0.06,0.54
smiles18,GOLD,Feb-16,5.00,-80.00,-16.00,0.21,0.20
smiles18,CHWY,Dec-09,5.00,-63.00,-12.60,0.30,0.14
smiles18,ALLY,Feb-01,4.00,34.00,8.50,0.03,0.51
smiles18,MSFT,Jan-27,4.00,-37.00,-9.30,0.10,0.05
smiles18,PYPL,Feb-02,4.00,6.00,1.50,0.04,0.40
smiles18,TXN,Jan-26,4.00,17.00,4.30,0.06,0.35
smiles18,JPM,Jan-14,4.00,113.00,28.30,0.03,0.95
smiles18,CVX,Jan-28,4.00,-37.00,-9.30,0.14,0.12
smiles18,APA,Feb-24,4.00,-15.00,-3.80,0.34,0.36
smiles18,CYD,Dec-13,4.00,-26.00,-6.50,0.47,0.25
smiles18,AMD,Feb-01,4.00,-4.00,-1.00,0.21,0.46
smiles18,EBAY,Feb-02,4.00,-10.00,-2.50,0.04,0.26
smiles18,TWTR,Feb-10,4.00,8.00,2.00,0.20,0.45
smiles18,LULU,Dec-09,4.00,-12.00,-3.00,0.06,0.16
smiles18,CBRL,Feb-22,4.00,59.00,14.80,0.24,0.52
smiles18,CMG,Feb-08,4.00,11.00,2.80,0.07,0.40
smiles18,NFLX,Jan-18,4.00,45.00,11.30,0.09,0.69
smiles18,STLD,Jan-24,4.00,-96.00,-24.00,0.24,0.11
smiles18,SCHN,Jan-06,4.00,-43.00,-10.80,0.14,0.17
smiles18,LSCC,Feb-15,4.00,-25.00,-6.30,0.09,0.20
smiles18,KMI,Jan-19,4.00,-34.00,-8.50,0.12,0.21
smiles18,GS,Jan-18,4.00,39.00,9.80,0.18,0.60
smiles18,BAC,Jan-18,4.00,-18.00,-4.50,0.07,0.26
smiles18,APOG,Dec-21,4.00,-78.00,-19.50,0.40,0.03
smiles18,AZZ,Jan-12,4.00,-3.00,-0.80,0.10,0.52
smiles18,GPC,Feb-22,4.00,-39.00,-9.80,0.04,0.19
smiles18,BB,Dec-16,4.00,-91.00,-22.80,0.51,0.04
smiles18,IBM,Jan-24,4.00,-59.00,-14.80,0.07,0.17
smiles18,ZS,Feb-24,4.00,63.00,15.80,0.15,0.54
serpyou,AYX,Feb-23,13.00,252.00,19.50,0.37,0.62
serpyou,AAPL,Feb-01,13.00,304.00,23.40,0.05,0.67
serpyou,CRM,Mar-01,12.00,352.00,29.30,0.08,0.69
serpyou,GOOGL,Feb-02,12.00,224.00,18.70,0.10,0.61
serpyou,ZEN,Feb-08,12.00,214.00,17.80,0.18,0.59
serpyou,FICO,Jan-27,12.00,170.00,14.20,0.08,0.54
serpyou,DOCU,Mar-17,12.00,307.00,25.60,0.21,0.65
serpyou,SNAP,Feb-08,12.00,254.00,21.20,0.19,0.69
serpyou,SHOP,Feb-16,12.00,264.00,22.00,0.29,0.60
serpyou,MSFT,Jan-27,12.00,233.00,19.40,0.05,0.61
serpyou,MDB,Mar-16,11.00,236.00,21.50,0.21,0.62
serpyou,ZUO,Mar-24,11.00,284.00,25.80,0.16,0.72
serpyou,ETSY,Mar-01,11.00,167.00,15.20,0.18,0.58
serpyou,FTNT,Feb-09,11.00,246.00,22.40,0.05,0.58
serpyou,NOW,Jan-26,11.00,250.00,22.80,0.04,0.67
serpyou,COUP,Mar-14,11.00,313.00,28.50,0.28,0.77
serpyou,FB,Feb-02,11.00,179.00,16.30,0.06,0.64
serpyou,TWTR,Feb-10,11.00,103.00,9.40,0.23,0.60
serpyou,TEAM,Jan-20,11.00,264.00,24.00,0.05,0.67
serpyou,SPLK,Mar-03,11.00,189.00,17.20,0.21,0.62
serpyou,GWRE,Mar-03,11.00,237.00,21.50,0.24,0.57
serpyou,NTNX,Mar-03,11.00,304.00,27.60,0.14,0.66
serpyou,CYBR,Feb-10,10.00,201.00,20.10,0.16,0.58
serpyou,AMZN,Feb-03,10.00,141.00,14.10,0.19,0.59
serpyou,CHKP,Feb-02,10.00,203.00,20.30,0.01,0.62
serpyou,YELP,Feb-09,10.00,138.00,13.80,0.33,0.55
serpyou,SPSC,Feb-08,10.00,235.00,23.50,0.04,0.73
serpyou,AKAM,Feb-15,10.00,241.00,24.10,0.03,0.62
serpyou,BIDU,Feb-24,10.00,129.00,12.90,0.14,0.59
serpyou,HUBS,Feb-15,10.00,262.00,26.20,0.11,0.71
AetCap,ATVI,Feb-10,14.00,175.00,12.50,0.14,0.61
AetCap,FB,Feb-02,14.00,253.00,18.10,0.06,0.64
AetCap,MSFT,Jan-27,14.00,302.00,21.60,0.05,0.60
AetCap,NVDA,Feb-17,13.00,156.00,12.00,0.15,0.56
AetCap,AAPL,Feb-01,13.00,291.00,22.40,0.03,0.71
AetCap,MA,Feb-03,13.00,242.00,18.60,0.03,0.67
AetCap,TSLA,Feb-02,12.00,110.00,9.20,0.30,0.60
AetCap,GOOGL,Feb-02,12.00,143.00,11.90,0.06,0.55
AetCap,AMZN,Feb-03,12.00,192.00,16.00,0.21,0.60
AetCap,SWKS,Jan-27,12.00,34.00,2.80,0.02,0.38
AetCap,GILD,Feb-08,11.00,163.00,14.80,0.09,0.62
AetCap,NFLX,Jan-18,11.00,51.00,4.60,0.12,0.54
AetCap,NXPI,Feb-02,10.00,123.00,12.30,0.04,0.52
AetCap,EBAY,Feb-02,10.00,133.00,13.30,0.02,0.61
AetCap,CSCO,Feb-16,10.00,112.00,11.20,0.02,0.53
AetCap,IBM,Jan-24,9.00,154.00,17.10,0.02,0.62
AetCap,TXN,Jan-26,9.00,121.00,13.40,0.03,0.56
AetCap,AMAT,Feb-16,9.00,-9.00,-1.00,0.10,0.31
AetCap,BIDU,Feb-24,9.00,161.00,17.90,0.09,0.61
AetCap,INTC,Jan-26,9.00,149.00,16.60,0.06,0.65
AetCap,V,Feb-03,9.00,232.00,25.80,0.02,0.68
AetCap,GRUB,Dec-10,9.00,130.00,14.40,0.12,0.48
AetCap,FFIV,Jan-26,9.00,130.00,14.40,0.02,0.55
AetCap,NSC,Jan-26,9.00,110.00,12.20,0.05,0.57
AetCap,GPRO,Feb-03,9.00,101.00,11.20,0.20,0.64
AetCap,XOM,Feb-01,9.00,121.00,13.40,0.16,0.55
AetCap,UNH,Jan-18,9.00,184.00,20.40,0.01,0.62
AetCap,XPO,Feb-23,9.00,-9.00,-1.00,0.10,0.36
AetCap,QCOM,Feb-02,9.00,146.00,16.20,0.06,0.55
AetCap,AMD,Feb-01,9.00,162.00,18.00,0.12,0.62
Spekoliunas,HUBS,Feb-15,19.00,495.00,26.10,0.16,0.70
Spekoliunas,TWLO,Feb-15,19.00,480.00,25.30,0.29,0.68
Spekoliunas,EMKR,Feb-08,19.00,297.00,15.60,0.21,0.67
Spekoliunas,NUAN,Feb-08,19.00,330.00,17.40,0.05,0.66
Spekoliunas,HIMX,Feb-17,19.00,417.00,21.90,0.14,0.71
Spekoliunas,ANET,Feb-17,18.00,427.00,23.70,0.05,0.68
Spekoliunas,CSCO,Feb-16,18.00,352.00,19.60,0.01,0.65
Spekoliunas,TRMB,Feb-09,18.00,369.00,20.50,0.05,0.68
Spekoliunas,DDD,Mar-02,18.00,127.00,7.10,0.35,0.55
Spekoliunas,TRIP,Feb-16,18.00,181.00,10.10,0.21,0.55
Spekoliunas,BB,Dec-16,18.00,328.00,18.20,0.29,0.67
Spekoliunas,QCOM,Feb-02,18.00,385.00,21.40,0.05,0.66
Spekoliunas,UI,Feb-10,18.00,270.00,15.00,0.11,0.54
